Institution,Specimen,Nose,Bitework,UKC breeding Standard,AKC breeding standard
LACM,30537,no,Yes,Guardian,Non-sporting
LACM,30419,Yes,no,Terrier,Terrier
LACM,30423,Yes,no,Northern Breed,Non-sporting
LACM,30417,no,no,Companion,Non-sporting
LACM,30129,no,no,Companion,Non-sporting
LACM,30124,Yes,no,Gun dog,Sporting
LACM,30126,Yes,no,Terrier,Terrier
LACM,30416,Yes,Yes,Herding,Herding
LACM,31092,Yes,no,Gun dog,Sporting
LACM,31098,no,no,Sighthound,Non-sporting
LACM,92252,NATURAL,NATURAL,NATURAL,NATURAL
LACM,92253,NATURAL,NATURAL,NATURAL,NATURAL
LACM,92250,NATURAL,NATURAL,NATURAL,NATURAL
LACM,30595,no,no,Companion,Toy
LACM,30128,Yes,no,Herding,Herding
LACM,30539,no,no,Sighthound,Hound
LACM,22825,no,no,Sighthound,Hound
LACM,30541,Yes,no,Terrier,Terrier
AMNH,212877,no,no,Companion,Toy
AMNH,189373,no,no,Sighthound,Hound
AMNH,165673,no,no,Sighthound,Hound
AMNH,10746,Yes,no,Herding,Herding
AMNH,16257,Yes,no,Herding,Herding
AMNH,16258,Yes,no,Herding,Herding
AMNH,16259,Yes,no,Herding,Herding
AMNH,100450,no,no,Sighthound,Hound
AMNH,80291,no,no,Sighthound,Hound
AMNH,70118,Yes,no,Terrier,Terrier
AMNH,35609,no,no,Companion,Non-sporting
AMNH,63770,Yes,no,Northern Breed,Non-sporting
AMNH,165623,Yes,Yes,Herding,Herding
AMNH,99663,Yes,Yes,Herding,Herding
AMNH,17432,Yes,no,Gun dog,Sporting
AMNH,90154,Yes,no,Terrier,Terrier
AMNH,100128,no,no,Sighthound,Hound
AMNH,64000,no,no,Sighthound,Hound
AMNH,42899,Yes,no,Guardian,Working
AMNH,179936,no,no,Companion,Toy
AMNH,204453,no,no,Companion,Toy
AMNH,35865,Yes,no,Herding,Herding
AMNH,99667,Yes,no,Herding,Herding
LACM,31106,Yes,no,Scenthound,Hound
SMNS,5014,NATURAL,NATURAL,NATURAL,NATURAL
SMNS,5016,NATURAL,NATURAL,NATURAL,NATURAL
ZMBMAM,35327,NATURAL,NATURAL,NATURAL,NATURAL
SMNS,18994,NATURAL,NATURAL,NATURAL,NATURAL
SMNS,51589,NATURAL,NATURAL,NATURAL,NATURAL
USNM,168440,NATURAL,NATURAL,NATURAL,NATURAL
WAM,3831,NATURAL,NATURAL,NATURAL,NATURAL
WAM,5261,NATURAL,NATURAL,NATURAL,NATURAL
ZMBMAM,52489,NATURAL,NATURAL,NATURAL,NATURAL
ZMBMAM,69300,NATURAL,NATURAL,NATURAL,NATURAL
AMNH,204218,Yes,Yes,Herding,Herding
AMNH,11154,Yes,no,Terrier,Terrier
AMNH,63976,Yes,no,Terrier,Terrier
AMNH,16260,Yes,no,Herding,Herding
AMNH,16261,Yes,no,Herding,Herding
AMNH,16263,Yes,no,Herding,Herding
AMNH,16265,Yes,no,Herding,Herding
AMNH,16266,Yes,no,Herding,Herding
AMNH,78,Yes,no,Herding,Herding
AMNH,204177,no,no,Sighthound,Hound
AMNH,238447,no,no,Sighthound,Hound
AMNH,77,Yes,no,Terrier,Terrier
AMNH,69456,no,no,Guardian,Non-sporting
AMNH,69453,no,no,Guardian,Non-sporting
AMNH,100132,no,no,Companion,Toy
AMNH,90210,no,no,Companion,Toy
AMNH,90231,no,no,Companion,Toy
AMNH,140219,Yes,Yes,Guardian,Working
AMNH,100321,Yes,no,Gun dog,Sporting
AMNH,99665,Yes,Yes,Herding,Herding
AMNH,99666,Yes,Yes,Herding,Herding
AMNH,99669,Yes,Yes,Herding,Herding
AMNH,35564,no,Yes,Guardian,Working
AMNH,90250,no,no,Sighthound,Hound
AMNH,6285,no,no,Companion,Toy
AMNH,69465,Yes,no,Guardian,Working
AMNH,69469,Yes,no,Guardian,Working
AMNH,132868,Yes,no,Herding,Herding
AMNH,35171,no,no,Companion,Toy
AMNH,90118,no,no,Companion,Toy
AMNH,99673,Yes,no,Herding,Herding
AMNH,99679,Yes,no,Herding,Herding
AMNH,99680,Yes,no,Herding,Herding
AMNH,120450,no,no,Sighthound,Hound
AMNH,90212,Yes,no,Terrier,Terrier
YPM,2872,FOX,FOX,FOX,FOX
YPM,3245,FOX,FOX,FOX,FOX
YPM,4919,no,no,Sighthound,Hound
YPM,4921,Yes,no,Gun dog,Sporting
YPM,4923,no,no,MIXED,MIXED
YPM,4925,Yes,Yes,Herding,Herding
YPM,4937,Yes,Yes,Herding,Herding
YPM,4938,no,no,Terrier,Terrier
YPM,4944,no,no,Northern Breed,Non-sporting
YPM,4947,no,no,Gun dog,Sporting
YPM,4949,Yes,no,Scenthound,Hound
YPM,6940,Yes,Yes,Scenthound,Hound
YPM,6967,no,no,Guardian,Working
YPM,7251,no,Yes,Guardian,Working
YPM,7345,no,no,Sighthound,Hound
YPM,7355,no,no,Guardian,Working
YPM,7356,no,no,Companion,Toy
YPM,7471,no,no,Sighthound,Hound
YPM,7975,Yes,no,Herding,Herding
YPM,7987,no,no,Sighthound,Hound
YPM,8002,Yes,no,Scenthound,Hound
YPM,8725,FOX,FOX,FOX,FOX
YPM,9618,Yes,no,Scenthound,Hound
YPM,10435,FOX,FOX,FOX,FOX
YPM,10545,FOX,FOX,FOX,FOX
YPM,10670,FOX,FOX,FOX,FOX
YPM,10673,FOX,FOX,FOX,FOX
YPM,12614,FOX,FOX,FOX,FOX
YPM,14240,FOX,FOX,FOX,FOX
YPM,14389,FOX,FOX,FOX,FOX
