,X,Y,Z
LM 1,0.05066461203593932,-0.09017759767772363,0.2546308097368256
LM 2,0.006307109161383518,-0.07943115124507953,0.2175757390588117
LM 3,0.0156761450655823,-0.028913498113348614,0.21726479702050147
LM 4,0.03948824459030759,-0.012830767389132174,0.20042922607905245
LM 5,0.02180814815142076,0.009196812714407993,0.1460979256219841
LM 6,0.03798214803595593,0.00929289602536275,0.1458921852225627
LM 7,-0.01601021750784277,-0.03350421336289862,0.11073452329378394
LM 8,0.020015278032812493,0.043484119882355655,0.09419960944475249
LM 9,0.034597754442425424,0.040531792917305624,0.09178012362185782
LM 10,-0.05966853055783176,-0.036551195277500524,0.032808338637043924
LM 11,-0.029341539280371313,0.014211273635208696,0.0690924060632624
LM 12,0.03069111693786257,0.07609330288942615,0.05222826043062679
LM 13,-0.005632012553093431,0.06975936726126475,0.060801591675613394
LM 14,-0.04854120483020051,0.08289457345205309,0.011632197998508618
LM 15,0.027074373887112955,0.10827150147846377,0.015374199740549573
LM 16,-0.0830850338459603,0.026153391054916694,-0.0060404877240379596
LM 17,-0.10709067045044227,0.026229851746788456,-0.06655357422464163
LM 18,-0.036213444824958,0.057350981749182295,-0.07452283374130089
LM 19,0.023299000530581062,0.1413743953395396,-0.11420350356752058
LM 20,-0.05555185616404315,0.008183338773448751,-0.18887205677335242
LM 21,-0.01735025543480513,0.06835205989620356,-0.2223380068314105
LM 22,0.0004430273871466369,-0.08294542927966328,0.18490095850670726
LM 23,0.04206370781461355,-0.07406903728742034,0.18294352763187238
LM 24,0.04598198613336795,-0.06011708709648035,0.08366573414076837
LM 25,-0.03950199599994794,-0.08595102350555944,0.04314914750951362
LM 26,0.011805984052593872,-0.057484311133691735,0.05236357722363442
LM 27,0.001683027603993922,-0.053675053544851255,-0.004394644034047186
LM 28,0.043747559050390274,-0.04873011036017635,-0.007434782711290346
LM 29,0.04115231938536847,-0.02151675225843885,-0.022733624529711262
LM 30,0.019003503548821223,-0.04888537807365231,-0.05486743015308403
LM 31,-0.10305720946024113,-0.013925182772868373,-0.09740910562269223
LM 32,-0.07793113037183577,-0.018066392178004122,-0.10871354605685826
LM 33,0.01479841869148329,-0.0238372793806554,-0.18057407307521295
LM 34,0.039826623142353246,-0.024205058754708596,-0.17728073443555875
LM 35,0.03994999263474595,-0.02417184304925195,-0.21863514448952243
LM 36,0.010871497283216243,0.002627458920486752,-0.23588487638806152
LM 37,0.03459466919090227,0.026383518235623533,-0.23872567399698547
LM 38,0.025448854491192704,0.10859772576906729,-0.24838078030294447
